location	country_code	latitude	longitude
blmt-3	AUS	-35.274358	149.114653
ain-3	AUS	-35.269287	149.158878
brk-1	AUS	-41.652548	146.921057
cws-1	AUS	-38.546219	145.34572
ger-1	AUS	-28.699383	114.623616
ger-2	AUS	-28.699383	114.623616
gra-1	AUS	-42.764721	147.230622
gee-2	AUS	-43.191899	146.959277
ger-3	AUS	-28.777362	114.614623
ger-4	AUS	-28.777362	114.614623
ger-5	AUS	-28.777362	114.614623
mea-1	AUS	-35.181710	138.762284
mun-2	AUS	-36.393457	140.639864
tin-2	AUS	-35.881675	140.054761
wit-1	AUS	-34.670801	138.884427
ham-4	AUS	-37.731456	142.032587
ath-1	AUS	-35.360846	149.091030
ara-1	AUS	-35.267748	149.081123
tug-1	AUS	-35.431739	149.109009
tug-3	AUS	-35.431739	149.109009
hack-1	AUS	-35.248011	149.163999
blmt-6	AUS	-35.272905	149.099342
mfbm-2	AUS	-35.160389	149.147089
wc-2	AUS	-35.326727	149.048463
maj-1	AUS	-35.22474	149.17025
bib-1	AUS	-36.798819	149.359904
rus-1	AUS	-29.753278	152.889971
kye-1	AUS	-35.396012	147.604317
kye-2	AUS	-35.396012	147.604317
bg-5	AUS	-34.974718	149.054797
brh-1	AUS	-32.170310	141.539120
bg-6	AUS	-34.974718	149.054797
sga-1	AUS	-29.725933	152.942365
bg-7	AUS	-34.974718	149.054797
par-1	AUS	-34.717537	140.746545
cra-1	AUS	-34.982356	138.706136
lyn-1	AUS	-35.001733	138.604278
mun-1	AUS	-36.393937	140.641656
coo-1	AUS	-36.006457	140.266621
mac-1	AUS	-35.174287	138.835881
kal-1	AUS	-37.561976	140.701888
kal-2	AUS	-37.561976	140.701888
lh-1	AUS	-35.040346	138.864967
mac-2	AUS	-35.174099	138.834753
cv-1	AUS	-34.633162	138.835921
tur-1607	AUS	-34.537208	138.844747
tur-1606	AUS	-34.537208	138.844747
str-1	AUS	-36.981603	140.601221
kal-3	AUS	-37.561976	140.701888
mto-2	AUS	-34.874367	138.962710
blak-1	AUS	-35.050015	138.883771
ws-1	AUS	-34.960455	138.904354
mto-1	AUS	-34.866528	138.957934
lea-1	AUS	-33.979880	138.633685
crk-1	AUS	-35.428578	138.332178
bra-1	AUS	-33.676585	135.032761
col-1	AUS	-35.962694	139.745222
col-2	AUS	-35.962694	139.745222
oro-1	AUS	-32.673784	138.633848
ham-1	AUS	-37.731478	142.033062
ham-2	AUS	-37.731478	142.033062
taw-1	AUS	-38.737984	145.897715
taw-2	AUS	-38.737984	145.897715
ham-3	AUS	-37.731456	142.032587
bah-1	AUS	-37.658074	141.337258
pic-1	AUS	-32.028342	116.138986
chi-1	AUS	-31.498542	116.082789
chi-2	AUS	-31.554980	116.090482
pic-2	AUS	-32.028342	116.138986
wnn-1	AUS	-31.153970	116.131921
mtba-1	AUS	-34.682572	117.466415
mtba-2	AUS	-34.682572	117.466415
wnp-1	AUS	-33.623755	115.411607
har-1	AUS	-35.197815	149.156062
the-1	AUS	-35.450455	149.114153
bon-2	AUS	-35.236646	149.249268
tar-2	AUS	-35.092453	149.679019
mer-1	AUS	-32.101980	150.332366
boc-1	AUS	-32.802176	149.742544
cow-1	AUS	-33.845408	148.714743
oran-1	AUS	-33.269911	149.101577
wes-1	AUS	-35.331654	149.060165
eor-1	AUS	-33.263022	149.133163
hil-1	AUS	-34.354142	150.483997
bro-1	AUS	-36.506525	149.775822
bro-2	AUS	-36.513534	149.770511
bega-1	AUS	-36.515695	149.781009
bega-2	AUS	-36.515695	149.781009
fc-1	AUS	-35.426258	149.500872
gou-1	AUS	-34.742136	149.726477
berk-1	AUS	-33.688514	150.783032
swi-1	AUS	-33.646725	150.802511
cob-1	AUS	-34.016975	150.685923
mol-1	AUS	-33.089215	148.854795
kul-1	AUS	-33.233379	151.214867
car-4	AUS	-35.369875	149.334068
dar-1	AUS	-12.465425	130.851410
asp-1	AUS	-23.698073	133.880246
mbr-1	AUS	-35.131827	139.262723
adl-1	AUS	-34.928321	138.600085
nur-1	AUS	-34.466196	138.992167
onk-1	AUS	-35.143861	138.542081
mun-3	AUS	-36.392735	140.639566
mil-1	AUS	-37.633835	140.352726
nai-1	AUS	-35.041883	138.911003
rob-1	AUS	-37.166680	139.801849
rey-1	AUS	-35.094306	138.517745
rey-2	AUS	-35.094306	138.517745
koo-1	AUS	-33.567764	138.325658
gle-1	AUS	-37.683070	140.595357
bal-2	AUS	-34.146675	138.421474
bal-3	AUS	-34.146675	138.421474
spr-1	AUS	-41.216722	146.352421
kerang-1	AUS	-35.732447	143.961770
wan-1	AUS	-36.361263	146.328062
wil-1	AUS	-37.244495	144.866475
wil-2	AUS	-37.244495	144.866475
new-1	AUS	-38.155695	144.334259
new-3	AUS	-38.155695	144.334259
new-2	AUS	-38.155695	144.334259
war-2	AUS	-37.776884	145.248397
ac-1	AUS	-37.571190	145.164095
ac-2	AUS	-37.571190	145.164095
dun-1	AUS	-37.667806	142.351063
dun-2	AUS	-37.667806	142.351063
dun-3	AUS	-37.667806	142.351063
awa-4	AUS	-38.395298	145.888715
tho-3	AUS	-38.283718	146.165940
awa-1	AUS	-38.395298	145.888715
sto-1	AUS	-37.505108	143.282925
mlb-1	AUS	-37.831001	144.980842
clc-1	AUS	-38.341795	143.586127
don-1	AUS	-37.779738	145.166199
cam-2	AUS	-37.102668	144.203352
yor-1	AUS	-31.874934	116.786563
pth-3	AUS	-31.95300	116.02295
alb-3	AUS	-34.974752	117.860564
les-1	AUS	-31.993270	116.046959
yar-1	AUS	-33.215364	151.267294
blmt-1	AUS	-35.274634	149.114687
